,Researcher,H-index,Citations,Publications,University Name,Country
0,Luc Van Gool,168,176257,1558,ETH Zurich,                    Switzerland                
1,Luca Benini,124,62976,1599,ETH Zurich,                    Switzerland                
2,Onur Mutlu,116,46340,587,ETH Zurich,                    Switzerland                
3,Marc Pollefeys,112,48682,639,ETH Zurich,                    Switzerland                
4,Markus Gross,109,43414,587,ETH Zurich,                    Switzerland                
5,Adrian Perrig,100,78898,415,ETH Zurich,                    Switzerland                
6,Roger Wattenhofer,92,34991,611,ETH Zurich,                    Switzerland                
7,Lothar Thiele,90,71015,639,ETH Zurich,                    Switzerland                
8,Andreas Krause,89,36083,345,ETH Zurich,                    Switzerland                
9,Emilio Frazzoli,84,31381,452,ETH Zurich,                    Switzerland                
10,Gustavo Alonso,80,24187,426,ETH Zurich,                    Switzerland                
11,Joachim M. Buhmann,80,23341,358,ETH Zurich,                    Switzerland                
12,Thomas Hofmann,79,47015,389,ETH Zurich,                    Switzerland                
13,Konrad Schindler,77,24298,290,ETH Zurich,                    Switzerland                
14,Gerhard Tröster,75,22261,429,ETH Zurich,                    Switzerland                
15,Radu Timofte,73,28893,391,University of Wurzburg,                    Germany                
16,Srdjan Capkun,72,26838,308,ETH Zurich,                    Switzerland                
17,Renato Renner,72,17601,201,ETH Zurich,                    Switzerland                
18,Gunnar Rätsch,71,46659,252,ETH Zurich,                    Switzerland                
19,Ueli Maurer,67,19903,253,ETH Zurich,                    Switzerland                
20,Olga Sorkine,64,17778,176,ETH Zurich,                    Switzerland                
21,David Basin,62,16761,412,ETH Zurich,                    Switzerland                
22,Helmut Bölcskei,61,23246,217,ETH Zurich,                    Switzerland                
23,Thomas R. Gross,61,13743,276,ETH Zurich,                    Switzerland                
24,Zhendong Su,60,15176,196,ETH Zurich,                    Switzerland                
25,Tobi Delbruck,59,15594,216,ETH Zurich,                    Switzerland                
26,Kenneth G. Paterson,59,15327,246,ETH Zurich,                    Switzerland                
27,Torsten Hoefler,59,12053,429,ETH Zurich,                    Switzerland                
28,Eckart Zitzler,57,60873,112,ETH Zurich,                    Switzerland                
29,Otmar Hilliges,57,16702,189,ETH Zurich,                    Switzerland                
30,Emo Welzl,57,11169,194,ETH Zurich,                    Switzerland                
31,Karsten M. Borgwardt,56,24377,182,ETH Zurich,                    Switzerland                
32,Ulrik Brandes,56,21985,235,ETH Zurich,                    Switzerland                
33,Gábor Székely,56,14944,296,ETH Zurich,                    Switzerland                
34,Christoph Studer,56,12170,273,ETH Zurich,                    Switzerland                
35,Rodney J. Douglas,53,14381,163,ETH Zurich,                    Switzerland                
36,Martin Vechev,53,11251,225,ETH Zurich,                    Switzerland                
37,Gaston H. Gonnet,50,20944,180,ETH Zurich,                    Switzerland                
38,Elgar Fleisch,50,10648,374,ETH Zurich,                    Switzerland                
39,Markus Püschel,50,9251,197,ETH Zurich,                    Switzerland                
40,Ce Zhang,49,9739,253,ETH Zurich,                    Switzerland                
41,Ender Konukoglu,48,12846,188,ETH Zurich,                    Switzerland                
42,Martin Danelljan,46,24353,109,ETH Zurich,                    Switzerland                
43,Peter Widmayer,46,10761,270,ETH Zurich,                    Switzerland                
44,Fisher Yu,45,26476,108,ETH Zurich,                    Switzerland                
45,Martin Raubal,45,7509,240,ETH Zurich,                    Switzerland                
46,Niklaus Wirth,44,13954,194,ETH Zurich,                    Switzerland                
47,Hans-Jörg Schek,44,10725,178,ETH Zurich,                    Switzerland                
48,Bernhard Plattner,44,8987,191,ETH Zurich,                    Switzerland                
49,Friedemann Mattern,43,15286,139,ETH Zurich,                    Switzerland                
50,Timothy Roscoe,43,14400,200,ETH Zurich,                    Switzerland                
51,Deng-Ping Fan,42,11584,76,Nankai University,                    China                
52,Armin Gruen,41,8682,152,ETH Zurich,                    Switzerland                
53,Dengxin Dai,41,6896,169,ETH Zurich,                    Switzerland                
54,Dennis Hofheinz,40,6573,121,ETH Zurich,                    Switzerland                
55,Christian Holz,40,5415,146,ETH Zurich,                    Switzerland                
56,Stelian Coros,38,4928,169,ETH Zurich,                    Switzerland                
57,Florian Tramèr,37,12032,71,ETH Zurich,                    Switzerland                
58,Paul Furgale,37,6779,71,ETH Zurich,                    Switzerland                
59,Cesar Cadena,36,9234,127,ETH Zurich,                    Switzerland                
60,Michael Bosse,36,7771,65,ETH Zurich,                    Switzerland                
61,Robert W. Sumner,36,6721,154,ETH Zurich,                    Switzerland                
62,Fernando Perez-Cruz,36,5848,164,ETH Zurich,                    Switzerland                
63,Peter Müller,36,5767,189,ETH Zurich,                    Switzerland                
64,Angelika Steger,35,4809,165,ETH Zurich,                    Switzerland                
65,Ryan Cotterell,35,4096,154,ETH Zurich,                    Switzerland                
66,Aurelien Lucchi,34,12747,103,ETH Zurich,                    Switzerland                
67,Guillaume Obozinski,34,8662,75,ETH Zurich,                    Switzerland                
68,David Steurer,34,4692,75,ETH Zurich,                    Switzerland                
